577,-0.72,0.84,0.0103
578,-0.72,0.58,0.0103
579,0.26,0.25,0.0103
580,0.26,-0.20,0.0103
581,0.99,-0.56,0.0103
582,0.99,-0.87,0.0104
583,1.04,-1.00,0.0103
584,1.04,-1.01,0.0104
585,0.39,-0.78,0.0102
586,0.39,-0.70,0.0104
587,0.14,-0.46,0.0103
588,0.14,-0.08,0.0104
589,-0.61,0.21,0.0103
590,-0.61,0.45,0.0103
591,-0.51,0.52,0.0102
592,-0.51,0.55,0.0103
593,-0.31,0.53,0.0103
594,-0.31,0.40,0.0103
595,0.20,0.19,0.0103
596,0.20,-0.02,0.0103
597,0.79,-0.38,0.0103
598,0.79,-0.47,0.0104
599,0.52,-0.51,0.0103
600,0.52,-0.47,0.0104
601,0.31,-0.41,0.0103
602,0.31,-0.34,0.0104
603,0.14,-0.23,0.0103
604,0.14,0.06,0.0103
605,-0.47,0.26,0.0102
606,-0.47,0.26,0.0103
607,0.04,0.20,0.0102
608,0.04,0.15,0.0103
609,0.19,0.07,0.0103
610,0.19,-0.00,0.0103
611,0.26,-0.05,0.0101
612,0.26,-0.08,0.0104
613,0.38,-0.19,0.0103
614,0.38,-0.26,0.0103
615,0.41,-0.28,0.0103
616,0.41,-0.25,0.0104
617,0.38,-0.29,0.0103
618,0.38,-0.16,0.0104
619,-0.18,0.06,0.0103
620,-0.18,0.27,0.0104
621,-0.31,0.34,0.0103
622,-0.31,0.40,0.0104
623,-0.25,0.44,0.0103
624,-0.25,0.43,0.0103
625,-0.14,0.40,0.0102
626,-0.14,0.44,0.0103
627,-0.18,0.38,0.0103
628,-0.18,0.06,0.0104
629,0.53,-0.10,0.0102
630,0.53,-0.23,0.0103
631,0.29,-0.21,0.0103
632,0.29,-0.12,0.0103
633,-0.08,-0.04,0.0103
634,-0.08,-0.04,0.0104
635,0.02,0.01,0.0103
636,0.02,0.18,0.0102
637,-0.26,0.20,0.0103
638,-0.26,0.19,0.0103
639,-0.14,0.22,0.0102
640,-0.14,0.34,0.0103
641,-0.47,0.43,0.0103
642,-0.47,0.47,0.0104
643,-0.54,0.55,0.0103
644,-0.54,0.58,0.0103
645,-0.43,0.53,0.0102
646,-0.43,0.27,0.0103
647,0.06,0.17,0.0102
648,0.06,0.14,0.0103
649,0.04,-0.02,0.0102
650,0.04,-0.24,0.0104
651,0.42,-0.37,0.0103
652,0.42,-0.35,0.0104
653,0.02,-0.29,0.0103
654,0.02,-0.19,0.0104
655,-0.19,-0.10,0.0103
656,-0.19,-0.02,0.0104
657,-0.25,0.05,0.0103
658,-0.25,0.12,0.0103
659,-0.40,0.22,0.0102
660,-0.40,0.29,0.0103
661,-0.50,0.37,0.0102
662,-0.50,0.43,0.0104
663,-0.63,0.51,0.0103
664,-0.63,0.55,0.0103
665,-0.51,0.48,0.0102
666,-0.51,0.22,0.0103
667,0.17,0.02,0.0102
668,0.17,-0.19,0.0103
669,0.51,-0.46,0.0103
670,0.51,-0.59,0.0103
671,0.57,-0.73,0.0103
672,0.57,-0.73,0.0104
673,0.41,-0.74,0.0103
674,0.41,-0.72,0.0104
675,0.39,-0.68,0.0102
676,0.39,-0.54,0.0104
677,-0.31,-0.18,0.0103
678,-0.31,0.07,0.0104
679,-0.53,0.25,0.0102
680,-0.53,0.43,0.0103
681,-0.56,0.49,0.0103
682,-0.56,0.55,0.0103
683,-0.55,0.60,0.0103
684,-0.55,0.61,0.0104
685,-0.09,0.33,0.0103
686,-0.09,0.05,0.0103
687,0.39,-0.14,0.0102
688,0.39,-0.30,0.0103
689,0.33,-0.36,0.0103
690,0.33,-0.41,0.0103
691,0.27,-0.41,0.0103
692,0.27,-0.41,0.0104
693,0.26,-0.42,0.0103
694,0.26,-0.50,0.0104
695,0.28,-0.40,0.0103
696,0.28,-0.09,0.0104
697,-0.54,0.14,0.0103
698,-0.54,0.32,0.0103
699,-0.51,0.41,0.0102
700,-0.51,0.37,0.0103
701,-0.15,0.32,0.0102
